AS-1	Bûrat
AS-3	Mîonid
AS-4	Perchen
AS-5	Tûma
AS-6	Wûluag
AS-7	Alatar the Hunter
AS-8	Durin’s Folk
AS-9	Dwarven Travelers
AS-11	Gandalf the White Rider
AS-12	Knights of the Prince
AS-14	Lord of the Carrock
AS-15	Lord of the Haven
AS-16	Master of the House
AS-17	Pallando the Soul-keeper
AS-18	Radagast the Tamer
AS-19	Saruman the Wise
AS-20	Steward’s Guard
AS-21	Stout Men of Gondor
AS-22	Trolls from the Mountains
AS-23	A Lie in Your Eyes
AS-24	Alone and Unadvised
AS-25	Come at Need
AS-26	Early Harvest
AS-28	Fealty Under Trial
AS-29	FEAR! FIRE! FOES!
AS-30	Full of Froth and Rage
AS-31	Near to Hear a Whisper
AS-32	One Foe to Breed a War
AS-33	Pilfer Anything Unwatched
AS-34	Power Built by Waiting
AS-35	Returned Beyond All Hope
AS-36	Ride Against the Enemy
AS-37	Short Legs Are Slow
AS-38	Slip Treacherously
AS-39	Summons from Long Sleep
AS-40	Trouble on All Borders
AS-41	Turning Hope to Despair
AS-42	Unhappy Blows
AS-43	Will Shaken
AS-44	All the Bells Ringing
AS-45	Alliance of Free Peoples
AS-46	Biter and Beater!
AS-49	Glamour of Surpassing Excellance
AS-50	Mount Slain
AS-51	No Strangers at this Time
AS-52	Orc-mail
AS-53	Power Against the Shadow
AS-54	Safe from the Shadow
AS-55	Spies Feared
AS-56	The Sun Unveiled
AS-57	Tower Raided
AS-58	Angmarim
AS-60	Wain-easterlings
AS-62	Angmarim
AS-64	Nûrniags
AS-66	Wain-easterlings
AS-67	Woses of the Eryn Vorn
AS-69	The Ithil-stone
AS-70	Jewel of Beleriand
AS-72	Black Horse
AS-73	Creature of an Older World
AS-74	Great Bats
AS-75	Great Lord of Goblin-gate
AS-76	Regiment of Black Crows
AS-77	Above the Abyss
AS-78	The Ash Mountain Deeps
AS-79	The Dark Power
AS-80	Dark Tryst
AS-81	Driven as by a Madness
AS-82	Eye Never Sleeping
AS-83	Faithless Steward
AS-84	Far Below the Deepest Delvings
AS-86	Hail of Darts
AS-87	Hoard Well-searched
AS-88	Hold Rebuilt and Repaired
AS-89	Hounds of Sauron
AS-90	Join With That Power
AS-91	Legendary Stair
AS-92	The Misty Mountain Deeps
AS-93	The Mountains of Shadow Deeps
AS-94	Orders from Lugbúrz
AS-95	Our Own Wolves
AS-96	Padding Feet
AS-97	Powers Too Dark and Terrible
AS-98	Riven Gate
AS-99	Sack Over the Head
AS-100	Steeds
AS-101	Tokens to Show
AS-102	The Tormented Earth
AS-103	Treason the Greatest Foe
AS-104	Tribute Garnered
AS-105	The Undeeps of Anduin
AS-106	The Under-roads
AS-107	Use Your Legs
AS-108	Well-preserved
AS-109	The White Mountain Cavern-ways
AS-110	World Gnawed by the Nameless
AS-111	Asdriags
AS-112	Bairanax Roused
AS-114	Corsairs of Rhûn
AS-115	Daelomin Roused
AS-116	Eärcaraxë Roused
AS-117	Itangast Roused
AS-118	Leucaruth Roused
AS-119	Morgul-orcs
AS-120	Nûriags
AS-121	Orcs of Dol Guldur
AS-122	Ancient Black Axe
AS-123	Dwarven Ring of Thélor’s Tribe
AS-124	Dwarven Ring of Thrár’s Tribe
AS-125	Goblin Earth-plumb
AS-126	Helm of Fear
AS-127	Iron Shield of Old
AS-129	Old Treasure
AS-130	Records Unread
AS-131	Secret Book
AS-132	Thong of Fire
AS-133	Thrall-ring
AS-134	Thrór’s Map
AS-135	Troth-ring
AS-136	Usriev of Treachery
AS-138	Geann a-Lisch
AS-139	Gobel Mírlond
AS-140	Nûrniag Camp
AS-141	Raider-hold
AS-142	The Worthy Hills
AS-143	Dancing Spire
AS-144	Eagles’ Eyrie
AS-147	The Gem-deeps
AS-148	Gold Hill
AS-151	Irerock
AS-152	The Iron-deeps
AS-153	Isle of the Ulond
AS-154	Isles of the Dead That Live
AS-157	Ovir Hollow
AS-158	The Pûkel-deeps
AS-161	The Sulfur-deeps
AS-163	The Under-courts
AS-164	The Under-galleries
AS-165	The Under-gates
AS-166	The Under-grottos
AS-167	The Under-leas
AS-168	The Under-vaults
BA-5	Bûthrakaur
BA-6	Crook-legged Orc
BA-8	Mountain-maggot
BA-9	Umagaur
BA-10	Beorning Skin-changers
BA-11	Carrion Feeders
BA-12	Olog Warlords
BA-13	Shelob’s Brood
BA-14	Black Vapour
BA-15	Darkness Made by Malice
BA-16	Desire All for Thy Belly
BA-17	Diminish and Depart
BA-18	Fled into Darkness
BA-19	Glance of Arien
BA-20	Imprisoned and Mocked
BA-21	Monstrosity of Diverse Shape
BA-22	Press-gang
BA-23	The Reek
BA-24	Spawn of Ungoliant
BA-25	The Sun Shone Fiercely
BA-26	Unabated in Malice
BA-27	Ungoliant’s Progeny
BA-28	Ungoliant’s Foul Issue
BA-29	Crept Along Carefully
BA-31	Rumours of Rings
BA-32	Show Things Unbidden
BA-33	To Fealty Sworn
BA-35	Cave Troll
BA-36	Ancient Secrets
BA-37	Going Ever Under Dark
BA-38	Great Army of the North
BA-40	Long Grievous Siege
BA-41	No Better Use
BA-42	Prone to Violence
BA-44	Whispers of Rings
BA-45	Evil Things Lingering
BA-46	Great Troll
BA-47	Nasty Slimy Thing
BA-48	A More Evil Hour
BA-49	Angband Revisited
BA-50	Breach the Hold
BA-51	Caverns Unchoked
BA-52	Challenge the Power
BA-53	Cloaked by Darkness
BA-54	Crowned with Storm
BA-55	Darkness Wielded
BA-56	Descent through Fire
BA-57	Eddy in Fate’s Tide
BA-59	Foe Dismayed
BA-60	Gangways over the Fire
BA-61	Great Fissure
BA-62	Great Shadow
BA-63	Heart of Dark Fire
BA-64	Invade Their Domain
BA-65	Lord and Usurper
BA-66	Maker’s Map
BA-67	Memories of Old Torture
BA-68	Mine or No One’s
BA-69	Obey Him or Die
BA-70	Orders from the Great Demon
BA-71	Out He Sprang
BA-72	People Diminished
BA-73	Roam the Waste
BA-74	Roots of the Earth
BA-75	Scourge of Fire
BA-76	Strangling Coils
BA-77	Tempest of Fire
BA-78	Terror Heralds Doom
BA-79	Vanguard of Might
BA-80	A Few Recruits
BA-81	Stabbing Tongue of Fire
BA-82	Whip of Many Thongs
BA-83	Ancient Deep-hold
BA-89	The Drowning-deeps
BA-90	The Gem-deeps
BA-91	The Iron-deeps
BA-94	The Pûkel-deeps
BA-95	Remains of Thangorodrim
BA-96	The Rusted-deeps
BA-97	The Sulfur-deeps
BA-98	The Under-courts
BA-99	The Under-galleries
BA-100	The Under-gates
BA-101	The Under-grottos
BA-102	The Under-leas
BA-103	The Under-vaults
BA-104	The Wind-deeps
DM-1	Anarin
DM-2	Baduila
DM-4	Dâsakûn
DM-5	Deallus
DM-6	Drór
DM-8	Elwen
DM-9	Eun
DM-11	Fori the Beardless
DM-12	Gergeli
DM-13	Gisulf
DM-14	Golodhros
DM-15	The Grimburgoth
DM-17	Ivic
DM-18	Jûoma
DM-19	Leamon
DM-21	Ôm-buri-Ôm
DM-22	Pôn-ora-Pôn
DM-23	Râisha
DM-25	Taladhan
DM-26	Woffung
DM-30	The Gem-deeps
DM-32	Hermit’s Hill
DM-33	The Iron-deeps
DM-34	The Pûkel-deeps
DM-35	The Sulfur-deeps
DM-36	The Under-courts
DM-37	The Under-galleries
DM-38	The Under-gates
DM-39	The Under-grottos
DM-40	The Under-leas
DM-41	The Under-vaults
DM-42	Urlurtsu Nurn
DM-43	An Article Missing
DM-44	Angmar Arises
DM-45	An Unexpected Outpost
DM-46	Aware of their Ways
DM-47	The Black Enemy’s Wrath
DM-48	Bring Our Curses Home
DM-49	Chance of Being Lost
DM-50	Cunning Foes
DM-51	Doubled Vigilance
DM-52	Drums
DM-53	Earth-tremors
DM-54	Endless Whispers
DM-55	Exhalation of Decay
DM-56	Eyes of the Shadow
DM-57	Faces of the Dead
DM-59	Foes Shall Fall
DM-60	Gnaw with Words
DM-61	Good Sense Revolts
DM-62	Great Need or Purpose
DM-63	Great Secrets Buried There
DM-64	Helms of Iron
DM-65	In Darkness Bind Them
DM-66	In Great Wrath
DM-67	In the Heart of his Realm
DM-68	Inner Cunning
DM-69	Like the Crash of Battering-rams
DM-70	Long Dark Reach
DM-71	The Moon Is Dead
DM-72	Mordor in Arms
DM-73	Neither so Ancient Nor so Potent
DM-74	Never Seen Him
DM-75	No Way Forward
DM-76	Nobody’s Friend
DM-77	Out of the Black Sky
DM-78	Pale Dream-maker
DM-79	Pierced by Many Wounds
DM-80	Rank upon Rank
DM-81	Reaching Shadow
DM-82	The Reach of Ulmo
DM-83	Redoubled Force
DM-84	Reluctant Final Parting
DM-85	Revealed to all Watchers
DM-86	Scimitars of Steel
DM-87	Seek without Success
DM-88	Seized by Terror
DM-89	Shadow out of the Dark
DM-90	Spells of the Barrow-wights
DM-91	Sudden Fury
DM-92	To Get You Away
DM-93	Tribal Banner
DM-94	Tribal Totem
DM-95	Troll-purse
DM-96	Twisted Tales
DM-97	Two or Three Tribes Present
DM-98	The Way is Shut
DM-99	Waylaid, Wounded, and Orc-dragged
DM-100	Which Might Be Lies
DM-101	Will not Come Down
DM-102	Wound of Long Burden
DM-103	Wraith-lord
DM-104	Your Welcome Is Doubtful
DM-105	Bûthrakaur the Green
DM-106	Chill Douser
DM-108	Little Snuffler
DM-109	Nameless Thing
DM-110	Spider of the Môrlat
DM-111	Stirring Bones
DM-112	Umagaur the Pale
DM-113	Wisp of Pale Sheen
DM-115	Ancient Stair
DM-116	Armory
DM-117	Await the Advent of Allies
DM-118	Balance Between Powers
DM-120	Choice of Lúthien
DM-121	Crown of Flowers
DM-122	Cup of Farewell
DM-123	Dark Numbers
DM-124	The Dwarves Are upon You!
DM-125	Enduring Tales
DM-126	Eyes of Mandos
DM-127	Face Out of Sight
DM-128	Fate of the Ithil-stone
DM-129	Fifteen Birds in Five Firtrees
DM-130	Fireworks
DM-131	First of the Order
DM-132	Forewarned Is Forearmed
DM-133	Free to Choose
DM-135	Healing of Nimrodel
DM-136	Herb-lore
DM-137	Here Is a Snake!
DM-138	Hidden Knife
DM-139	Hobbit-lore
DM-140	Horns, Horns, Horns
DM-141	Hour of Need
DM-142	Hundreds of Butterflies
DM-143	The Hunt
DM-144	I Know Much about You
DM-145	Into Dark Tunnels
DM-146	Into the Smoking Cone
DM-147	Knowledge of the Enemy
DM-149	Memories Recalled
DM-150	More Alert than Most
DM-151	No Waiting to Wonder
DM-152	Ordered to Kill
DM-153	Palm to Palm
DM-154	Pass the Doors of Dol Guldur
DM-155	Rebuild the Town
DM-156	Saw Further and Deeper
DM-157	Secret Ways
DM-158	Sentinels of Númenor
DM-159	Smoke Rings
DM-160	Token of Goodwill
DM-161	To the Uttermost Foundations
DM-162	Vein of Arda
DM-163	When You Know More
DM-164	The Windlord Found Me
DM-165	Withdrawn to Mordor
DM-168	Dwarven Light-stone
DM-169	Forgotten Scrolls
DM-170	Gems of Arda
DM-171	Leaf Brooch
DM-172	Lost Tome
DM-175	Noldo-lantern
DM-177	Lindion the Oronín
DM-178	Mistress Lobelia
DM-179	Noble Hound
DM-181	Baugúr
LE-1	Asternak
LE-3	Bróin
LE-4	Calendal
LE-5	Carambor
LE-7	Dôgrib
LE-8	Dorelas
LE-9	Dunlending Spy
LE-13	Gulla
LE-15	Hendolen
LE-16	Horseman in the Night
LE-17	Jerrek
LE-19	Layos
LE-20	Lieutenant of Angmar
LE-21	Lieutenant of Dol Guldur
LE-22	Lieutenant of Morgul
LE-23	Luitprand
LE-24	The Mouth
LE-27	Nevido Smôd
LE-28	Odoacer
LE-29	Old Troll
LE-30	Orc Brawler
LE-31	Orc Captain
LE-32	Orc Chieftain
LE-33	Orc Sniffler
LE-34	Orc Tracker
LE-35	Orc Veteran
LE-36	Ostisen
LE-37	Pon Opar
LE-40	Shámas
LE-43	Threlin
